soc_code,Title,total_weight_impact,ability_base,n_abil,abil_base_impact,aioe,rank
19-3033.00,Clinical and Counseling Psychologists,6.57006071802543,8.987037142857142,52,0.731059704504202,1.625960214345545,15
19-3034.00,School Psychologists,6.431501032161556,8.971537142857143,52,0.7168783821267591,1.4580583942599905,37
19-3039.02,Neuropsychologists,7.635028107703815,10.890754285714285,52,0.7010559514430419,1.270726434710201,105
19-3039.03,Clinical Neuropsychologists,7.445085205684368,10.742965714285715,52,0.6930195444805421,1.175578230611957,146
19-3041.00,Sociologists,6.1466165295437545,8.417751428571428,52,0.7301969631321001,1.6157456629247675,17
19-3051.00,Urban and Regional Planners,6.527400373971578,9.583768571428571,52,0.681089106578728,1.0343260832580177,196
19-3091.00,Anthropologists and Archeologists,7.281922662677637,10.680340000000001,52,0.6818062592274812,1.0428169159039464,193
19-3092.00,Geographers,6.623817427075543,9.462397142857144,52,0.7000147348577149,1.2583988001549258,113
19-3093.00,Historians,5.690523216155572,7.912325714285714,52,0.7191972906122059,1.4855134471073654,32
19-3094.00,Political Scientists,6.141244921465969,8.38159142857143,52,0.73270630927338,1.6454554299783475,13
19-3099.01,Transportation Planners,6.575392086761406,9.640557142857142,52,0.6820551954959604,1.045764232906587,191
19-4012.00,Agricultural Technicians,5.961458025430067,10.944662857142857,52,0.5446908783982705,-0.5805804930406258,584
19-4012.01,Precision Agriculture Technicians,6.46780387434555,11.070185714285714,52,0.5842543242972934,-0.11216334557710937,481
19-4013.00,Food Science Technicians,5.390815572176515,8.809914285714285,52,0.6119032941010552,0.2151906366528061,409
19-4021.00,Biological Technicians,6.419917965594615,10.746091428571429,52,0.5974188855796913,0.043700384272108296,442
19-4031.00,Chemical Technicians,6.555579551234106,11.291397142857143,52,0.5805817887984853,-0.1556448614870435,488
19-4042.00,"Environmental Science and Protection Technicians, Including Health",6.610226881077038,11.346931428571429,52,0.5825563433328389,-0.13226683711440165,487
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",5.777027868362004,9.958591428571427,52,0.5801049184312932,-0.1612908372617556,490
19-4051.00,Nuclear Technicians,6.562226237845923,11.6255,52,0.5644683013931378,-0.3464228292446146,529
19-4051.02,Nuclear Monitoring Technicians,6.823583380703067,11.511177142857143,52,0.5927789396358305,-0.011234927706412733,452
19-4061.00,Social Science Research Assistants,5.3058792670157064,7.763877142857143,52,0.6834058769074131,1.061755821088755,178
19-4071.00,Forest and Conservation Technicians,6.44197373223635,12.367077142857143,52,0.5208970282810148,-0.8622912274277585,654
19-4092.00,Forensic Science Technicians,7.527235287958115,12.866928571428572,52,0.5850063786529898,-0.10325928911721685,477
19-4099.01,Quality Control Analysts,5.924435617053104,10.087274285714285,52,0.587317787664737,-0.07589302737481318,469
19-4099.03,Remote Sensing Technicians,6.4556504861630515,10.216074285714285,52,0.6319110751955233,0.4520756585304548,347
19-5011.00,Occupational Health and Safety Specialists,6.903611129394166,10.834662857142858,52,0.6371782140727058,0.5144367120757166,330
19-5012.00,Occupational Health and Safety Technicians,6.062294255796559,9.926751428571428,52,0.6107027358767048,0.20097645368579709,412
